1,OPERADORA RIVERA SACRA S.A. DE C.V.,Avenida 5 de Febrero No. 418,QUERETARO
2,SERVICIOS INTEGRALES DE COMBUSTIBLES S.A. DE C.V.,Carretera (Carretera ) Libramiento Sur Poniente Km 37,QUERETARO
3,SERVICIO SHALON S.A. DE C.V.,Carretera Queretaro - San Luis Potosi Km 30.00,QUERETARO
4,GASOLINERA JAG S.A. DE C.V.,Eugenio Garza Sada No. 3809,MONTERREY
5,SERVICIOS GASOLINEROS DE MEXICO S.A. DE C.V.,Avenida No Reelección No. 5521,MONTERREY
6,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,Avenida Universidad No. 3000,CDMX
7,SÚPER SERVICIO TAXQUEÑA S.A. DE C.V.,Euiropa No. 23 Esquina Miguel A. de Quevedo,CDMX
